Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque
FERRARI,ROMA SPIDER,V8,"3,900 cc",612.0,320.0,3.4 sec,240000.0,Petrol,5.0,760.0
TOYOTA,GR SUPRA,I4,"2,998 cc",382.0,250.0,4.1 sec,53900.0,Petrol,2.0,500.0
TOYOTA,TOYOTA 86,BOXER-4,"1,998 cc",205.0,226.0,6.4 sec,27000.0,Petrol,5.0,205.0
TOYOTA,TOYOTA  GR86,BOXER-4,"2,387 cc",228.0,226.0,5.6 sec,30000.0,Petrol,4.0,250.0
TOYOTA,TOYOTA LAND CRUISER,V8,"5,663 cc",381.0,220.0,6.7 sec,85000.0,Diesel,7.0,500.0
TOYOTA,TOYOTA SEQUOIA,V8,"5,663 cc",381.0,200.0,6.9 sec,50000.0,Petrol,7.0,651.0
NISSAN,GT-R,V6,"3,799 cc",600.0,315.0,2.9 sec,113000.0,Petrol,4.0,637.0
NISSAN,370Z,V6,"3,696 cc",332.0,250.0,4.7 sec,30000.0,Petrol,2.0,366.0
NISSAN,Z PROTO,V6,"2,998 cc",400.0,290.0,4.1 sec,40000.0,Petrol,2.0,475.0
NISSAN,ALTIMA,I4,"2,488 cc",188.0,225.0,7.3 sec,25000.0,Petrol,5.0,380.0
NISSAN,MAXIMA,V6,"3,498 cc",300.0,240.0,5.8 sec,35000.0,Petrol,5.0,354.0
NISSAN,SENTRA,I4,"1,998 cc",149.0,200.0,8.2 sec,20000.0,Petrol,5.0,240.0
NISSAN,ROGUE,I4,"2,488 cc",201.0,200.0,7.5 sec,28000.0,Petrol,5.0,270.0
NISSAN,PATHFINDER,V6,"3,498 cc",284.0,225.0,6.5 sec,35000.0,Petrol,7.0,351.0
NISSAN,FRONTIER,V6,"3,799 cc",310.0,180.0,6.8 sec,30000.0,Petrol,5.0,381.0
NISSAN,TITAN,V8,"5,598 cc",400.0,200.0,5.9 sec,40000.0,Petrol,5.0,560.0
ASTON MARTIN,VALKYRIE,V12,"6,496 cc",1160.0,402.0,2.5 sec,3200000.0,Hybrid,2.0,900.0
ASTON MARTIN,VALHALLA,V8,"3,996 cc",1000.0,362.0,2.5 sec,1100000.0,Hybrid,2.0,1000.0
ASTON MARTIN,DBS SUPERLEGGERA,V12,"5,204 cc",715.0,340.0,3.4 sec,316000.0,Petrol,2.0,900.0
ASTON MARTIN,DB11,V12,"5,204 cc",600.0,322.0,3.9 sec,208000.0,Petrol,4.0,700.0
ASTON MARTIN,VANTAGE ,V8,"3,996 cc",503.0,313.0,3.6 sec,142000.0,Petrol,2.0,685.0
ASTON MARTIN,DBX,V8,"3,996 cc",542.0,291.0,4.5 sec,189000.0,Petrol,5.0,700.0
ASTON MARTIN,RAPIDE AMR,V12,"5,935 cc",580.0,328.0,4.2 sec,240000.0,Petrol,4.0,630.0
ASTON MARTIN,VANQUISH,V12,"5,935 cc",580.0,324.0,3.6 sec,294000.0,Petrol,2.0,630.0
ASTON MARTIN,LAGONDA TARAF,V12,"5,935 cc",540.0,314.0,4.2 sec,1100000.0,Petrol,4.0,630.0
ASTON MARTIN,VICTOR,V12,"5,204 cc",836.0,320.0,2.8 sec,1300000.0,Petrol,2.0,821.0
LAMBORGHINI,SIAN,V12,"6,498 cc",819.0,350.0,2.8 sec,2800000.0,Hybrid,2.0,720.0
LAMBORGHINI,AVENTADOR SVJ,V12,"6,498 cc",759.0,350.0,2.8 sec,518000.0,Petrol,2.0,720.0
LAMBORGHINI,HURACAN PERFORMANTE,V10,"5,204 cc",640.0,325.0,2.9 sec,274000.0,Petrol,2.0,600.0
LAMBORGHINI,HURACAN EVO,V10,"5,204 cc",640.0,325.0,2.9 sec,261000.0,Petrol,2.0,600.0
LAMBORGHINI,AVENTADOR SV,V12,"6,498 cc",740.0,350.0,2.8 sec,493000.0,Petrol,2.0,690.0
LAMBORGHINI,URUS ,V8,"3,996 cc",641.0,305.0,3.6 sec,211000.0,Petrol,5.0,850.0
LAMBORGHINI,HURACAN SPYDER,V10,"5,204 cc",610.0,325.0,3.4 sec,287000.0,Petrol,2.0,600.0
LAMBORGHINI,AVENTADOR ROADSTER,V12,"6,498 cc",700.0,350.0,3.0 sec,445000.0,Petrol,2.0,690.0
LAMBORGHINI,HURACAN  PERFORMANTE SPYDER,V10,"5,204 cc",640.0,325.0,3.1 sec,308000.0,Petrol,2.0,600.0
LAMBORGHINI,AVENTADOR S,V12,"6,498 cc",740.0,350.0,2.9 sec,421000.0,Petrol,2.0,690.0
LAMBORGHINI,HURACAN EVO SPYDER,V10,"5,204 cc",640.0,325.0,3.1 sec,287000.0,Petrol,2.0,600.0
LAMBORGHINI,URUS PERFORMANTE,V8,"3,996 cc",641.0,305.0,3.3 sec,242000.0,Petrol,5.0,850.0
LAMBORGHINI,AVENTADOR ULTIMAE,V12,"6,498 cc",769.0,355.0,2.8 sec,545000.0,Petrol,2.0,720.0
LAMBORGHINI,HURACAN EVO RWD,V10,"5,204 cc",610.0,325.0,3.3 sec,258000.0,Petrol,2.0,560.0
LAMBORGHINI,AVENTADOR SVJ ROADSTER,V12,"6,498 cc",759.0,350.0,2.9 sec,573000.0,Petrol,2.0,720.0
LAMBORGHINI,URUS S,V8,"3,996 cc",671.0,305.0,3.3 sec,263000.0,Petrol,5.0,850.0
LAMBORGHINI,HURACAN STO,V10,"5,204 cc",640.0,325.0,3.0 sec,327000.0,Petrol,2.0,565.0
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE,V12,"6,498 cc",769.0,355.0,2.8 sec,545000.0,Petrol,2.0,720.0
LAMBORGHINI,HURACAN EVO RWD SPYDER,V10,"5,204 cc",610.0,325.0,3.3 sec,273000.0,Petrol,2.0,600.0
LAMBORGHINI,AVENTADOR SVJ XAGO,V12,"6,498 cc",759.0,350.0,2.9 sec,603000.0,Petrol,2.0,720.0
LAMBORGHINI,URUS GRAPHITE CAPSULE,V8,"3,998 cc",641.0,305.0,3.3 sec,253000.0,Petrol,5.0,850.0
LAMBORGHINI,HURACAN STO EVO,V10,"5,204 cc",640.0,325.0,3.0 sec,342000.0,Petrol,2.0,565.0
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE ROADSTER,V12,"6,498 cc",769.0,355.0,2.8 sec,573000.0,Petrol,2.0,720.0
ROLLS ROYCE ,GHOST,V12,"6,592 cc",591.0,250.0,4.8 sec,332000.0,Petrol,5.0,850.0
ROLLS ROYCE,WRAITH,V12,"6,592 cc",624.0,250.0,4.4 sec,330000.0,Petrol,4.0,870.0
ROLLS ROYCE,DAWN,V12,"6,592 cc",624.0,250.0,4.9 sec,360000.0,Petrol,4.0,870.0
ROLLS ROYCE,CULLINAN,V12,"6,749 cc",563.0,250.0,5.2 sec,325000.0,Petrol,5.0,850.0
ROLLS ROYCE,PHANTOM EXTENDED,V12,"6,749 cc",563.0,250.0,5.3 sec,500000.0,Petrol,5.0,900.0
ROLLS ROYCE,GHOST EXTENDED,V12,"6,592 cc",591.0,250.0,4.8 sec,370000.0,Petrol,5.0,850.0
ROLLS ROYCE,WRAITH BLACK BADGE,V12,"6,592 cc",624.0,250.0,4.3 sec,360000.0,Petrol,4.0,870.0
ROLLS ROYCE,DAWN BLACK BADGE,V12,"6,592 cc",624.0,250.0,4.8 sec,390000.0,Petrol,4.0,870.0
ROLLS ROYCE,CULLINAN BLACK BADGE,V12,"6,749 cc",563.0,250.0,5.1 sec,350000.0,Petrol,5.0,850.0
ROLLS ROYCE,PHANTOM COUPE,V12,"6,749 cc",563.0,250.0,5.3 sec,450000.0,Petrol,4.0,870.0
ROLLS ROYCE,GHOST COUPE,V12,"6,592 cc",591.0,250.0,4.8 sec,340000.0,Petrol,4.0,850.0
ROLLS ROYCE,WRAITH COUPE,V12,"6,592 cc",624.0,250.0,4.4 sec,330000.0,Petrol,4.0,870.0
ROLLS ROYCE,DAWN CONVERTIBLE,V12,"6,592 cc",624.0,250.0,4.9 sec,380000.0,Petrol,4.0,870.0
ROLLS ROYCE,CULLINAN SUV,V12,"6,749 cc",563.0,250.0,5.2 sec,320000.0,Petrol,5.0,850.0
MERCEDES,BENZ S-CLASS S 580,V8,"3,982 cc",496.0,250.0,4.4 sec,116000.0,Petrol,5.0,700.0
MERCEDES,BENZ E-CLASS E 63 S,V8,"3,982 cc",603.0,250.0,3.4 sec,104000.0,Petrol,5.0,850.0
MERCEDES,BENZ CLA 45 AMG,I4,1991 cc,382.0,250.0,4.1 sec,53000.0,Petrol,5.0,500.0
MERCEDES,BENZ GLE 63 S,V8,"3,982 cc",603.0,250.0,4.2 sec,113000.0,Petrol,5.0,850.0
MERCEDES,BENZ S-CLASS S 500,V6,"2,996 cc",429.0,250.0,4.9 sec,109000.0,Petrol,5.0,700.0
MERCEDES,BENZ E-CLASS E 450 ,V6,"2,996 cc",362.0,250.0,5.2 sec,62000.0,Petrol,5.0,500.0
MERCEDES,BENZ CLS 450,V6,"2,996 cc",362.0,250.0,5.2 sec,70000.0,Petrol,5.0,500.0
MERCEDES,BENZ GT 53,V6,"2,996 cc",429.0,250.0,4.5 sec,99000.0,Petrol,5.0,700.0
MERCEDES,BENZ GLE 450,V6,"2,996 cc",362.0,250.0,5.5 sec,63000.0,Petrol,5.0,500.0
MERCEDES,BENZ A-CLASS A 45 S,I4,"1,991 cc",416.0,250.0,3.9 sec,53000.0,Petrol,5.0,500.0
MERCEDES,BENZ C-CLASS C 43,V6,"2,996 cc",402.0,250.0,4.7 sec,52000.0,Petrol,5.0,520.0
MERCEDES,BENZ E-CLASS E 350,I4,"1,991 cc",255.0,250.0,5.7 sec,49000.0,Petrol,5.0,500.0
MERCEDES,BENZ GLE 350 ,I4,"1,991 cc",255.0,250.0, 6.1 sec,53000.0,Petrol,5.0,500.0
MERCEDES,BENZ GLC 43,V6,"2,996 cc",402.0,250.0,4.7 sec,54000.0,Petrol,5.0,520.0
MERCEDES,BENZ GLA 45,I4,"1,991 cc",382.0,250.0,4.3 sec,48000.0,Petrol,5.0,500.0
MERCEDES,BENZ GLC 350 ,I4,"1,991 cc",255.0,250.0,6.1 sec,46000.0,Petrol,5.0,500.0
MERCEDES,BENZ GLE 53,V6,"2,996 cc",429.0,250.0,5.2 sec,71000.0,Petrol,5.0,620.0
MERCEDES,BENZ S-CLASS S 350,I4,"1,991 cc",255.0,250.0,6.5 sec,90000.0,Petrol,5.0,500.0
MERCEDES,BENZ EQS 53,ELECTRIC MOTOR,,751.0,250.0,3.4 sec,102000.0,Electric,5.0,950.0
MERCEDES,BENZ MAYBACH S 680,V12,"5,980 cc",630.0,250.0,4.7 sec,200000.0,Petrol,5.0,1000.0
BMW,M5 CS,V8,"4,395 cc",627.0,305.0,3.0 sec,142000.0,Petrol,5.0,750.0
BMW,M4 GTS,I6,"2,993 cc",493.0,305.0,3.7 sec,133000.0,Petrol,4.0,600.0
BMW,M3 COMPETITION,I6,"2,993 cc",503.0,285.0,3.5 sec,76000.0,Petrol,5.0,650.0
BMW,M2 CS,I6,"2,993 cc",444.0,280.0,4.0 sec,83000.0,Petrol,4.0,550.0
BMW,X5 M COMPETITION,V8,"4,935 cc",523.0,285.0,4.1 sec,114000.0,Petrol,5.0,750.0
BMW,X3 M COMPETITION,I6,"2,993 cc",503.0,285.0,4.1 sec,69000.0,Petrol,5.0,650.0
BMW,M8 GRAN COUPE,V8,"4,395 cc",523.0,305.0,3.3 sec,146000.0,Petrol,5.0,750.0
BMW,M850i DRIVE COUPE,V8,"4,935 cc",523.0,285.0,3.7 sec,108000.0,Petrol,4.0,750.0
ROLLS ROYCE,DAWN BLACK BADGE VOLANTE,V12,"6,592 cc",563.0,250.0,4.8 sec,398000.0,Petrol,4.0,840.0
ROLLS ROYCE,CULLINAN BLACK BADGE SUV,V12,"6,749 cc",563.0,250.0,5.1 sec,381000.0,Petrol,5.0,850.0
ROLLS ROYCE,PHATOM TRANQUILITY,V12,"6,749 cc",563.0,250.0,5.3 sec,475000.0,Petrol,5.0,900.0
ROLLS ROYCE,GHOST ZENITH,V12,"6,749 cc",563.0,250.0,4.9 sec,335000.0,Petrol,5.0,900.0
ROLLS ROYCE,WRAITH EAGLE VIII,V12,"6,592 cc",623.0,250.0,4.5 sec,349000.0,Petrol,4.0,800.0
ROLLS ROYCE,PHATOM ORCHID,V12,"6,749 cc",563.0,250.0,5.3 sec,495000.0,Petrol,5.0,900.0
ROLLS ROYCE,GHOST AZURE,V12,"6,749 cc",563.0,250.0,4.9 sec,355000.0,Petrol,5.0,900.0
ROLLS ROYCE,WRAITH KRYPTOS,V12,"6,592 cc",623.0,250.0,4.5 sec,369000.0,Petrol,4.0,800.0
ROLLS ROYCE,DAWN SILVER BULLET,V12,"6,592 cc",563.0,250.0,4.8 sec,418000.0,Petrol,4.0,840.0
ROLLS ROYCE,CULLINAN FUX ORANGE,V12,"6,749 cc",563.0,250.0,5.1 sec,401000.0,Petrol,5.0,850.0
ROLLS ROYCE,PHANTOM CELESTIAL,V12,"6,749 cc",563.0,250.0,5.3 sec,515000.0,Petrol,5.0,900.0
ROLLS ROYCE,GHOST MYSORE,V12,"6,749 cc",563.0,250.0,4.9 sec,375000.0,Petrol,5.0,900.0
ROLLS ROYCE,WRAITH LUMINARY,V12,"6,592 cc",623.0,250.0,4.5 sec,389000.0,Petrol,4.0,800.0
ROLLS ROYCE,DAWN BLACK BADGE ADAMAS,V12,"6,592 cc",563.0,250.0,4.8 sec,439000.0,Petrol,4.0,840.0
ROLLS ROYCE,CULLINAN RED DIAMOND,V12,"6,749 cc",563.0,250.0,5.1 sec,421000.0,Petrol,5.0,850.0
AUDI,R8 V10 PLUS,V10,"5,204 cc",610.0,330.0,3.2 sec,194000.0,Petrol,2.0,560.0
AUDI,RS7 SPORTBACK,V8,"3,993 cc",591.0,305.0,3.6 sec,114000.0,Petrol,5.0,800.0
AUDI,S8,V8,"3,993 cc",563.0,305.0,4.3 sec,101000.0,Petrol,5.0,800.0
AUDI,RS6 AVANT,V8,"3,993 cc",591.0,305.0,3.6 sec,109000.0,Petrol,5.0,800.0
AUDI,S7 SPORTBACK,V8,"3,993 cc",563.0,305.0,4.3 sec,96000.0,Petrol,5.0,650.0
AUDI,A8,V6,"2,995 cc",335.0,250.0,5.7 sec,86000.0,Petrol,5.0,600.0
AUDI,S5 COUPE,V6,"2,995 cc",349.0,250.0,4.8 sec,64000.0,Petrol,4.0,500.0
AUDI,SQ5,V6,"2,995 cc",349.0,250.0,5.4 sec,62000.0,Petrol,5.0,500.0
AUDI,S4 SEDAN,V6,"2,995 cc",349.0,250.0,4.7 sec,59000.0,Petrol,5.0,500.0
AUDI,S3 SEDAN,I4,"1,984 cc",306.0,250.0,4.8 sec,52000.0,Petrol,5.0,400.0
AUDI,Q7,V6,"2,995 cc",335.0,250.0,6.3 sec,60000.0,Petrol,7.0,600.0
AUDI,Q5,I4,"1,984 cc",248.0,240.0,6.3 sec,43000.0,Petrol,5.0,500.0
AUDI,A7,V6,"2,995 cc",335.0,250.0,5.7 sec,68000.0,Petrol,5.0,600.0
AUDI,A6,V6,"2,995 cc",335.0,250.0,5.7 sec,58000.0,Petrol,5.0,600.0
AUDI,A5 COUPE,I4,"1,984 cc",248.0,240.0,6.3 sec,45000.0,Petrol,4.0,500.0
AUDI,A4,I4,"1,984 cc",248.0,240.0,6.5 sec,39000.0,Petrol,5.0,400.0
AUDI,Q3,I4,"1,984 cc",248.0,230.0,7.3 sec,35000.0,Petrol,5.0,400.0
AUDI,E-TRON,ELECTRIC ,95 kwh,402.0,200.0,5.5 sec,75000.0,Electric,5.0,664.0
AUDI,E-TRON SPORTBACK,ELECTRIC,95 kwh,402.0,200.0,5.5 sec,78000.0,Electric,5.0,664.0
AUDI,TT COUPE,I4,"1,984 cc",248.0,250.0,5.3 sec,49000.0,Petrol,2.0,400.0
BMW,I8 ROADSTER,ELECTRIC MOTOR,11.6 kwh,369.0,250.0,4.4 sec,165000.0,Hybrid,2.0,570.0
BMW,330i,I4,"1,998 cc",255.0,250.0,5.6 sec,45000.0,Petrol,5.0,400.0
BMW,M340i XDRIVE,I6,"2,998 cc",382.0,250.0,4.1 sec,57000.0,Petrol,5.0,500.0
BMW,430i COUPE,I4,"1,998 cc",255.0,250.0,5.8 sec,48000.0,Petrol,4.0,400.0
BMW,M4 COMPETITION,I6,"2,993 cc",503.0,290.0,3.8 sec,81000.0,Petrol,4.0,650.0
BMW,530i,I4,"1,998 cc",248.0,250.0,5.9 sec,57000.0,Petrol,5.0,400.0
BMW,M550i XDRIVE,V8,"4,395 cc",523.0,250.0,3.6 sec,78000.0,Petrol,5.0,650.0
BMW,118i,I3,"1,499 cc",136.0,213.0,8.5 sec,32000.0,Petrol,5.0,220.0
BMW,128ti,I4,"1,998 cc",261.0,250.0,6.1 sec,42000.0,Petrol,5.0,400.0
BMW,M135i XDRIVE,I4,"1,998 cc",302.0,250.0,4.8 sec,30000.0,Petrol,5.0,450.0
BMW,116D,I3,"1,496 cc",116.0,200.0,10.3 sec,30000.0,Diesel,5.0,280.0
BMW,120D XDRIVE,I4,"1,995 cc",190.0,230.0,6.9 sec,38000.0,Diesel,5.0,400.0
BMW,116i,I3,"1,499 cc",109.0,200.0,10.9 sec,28000.0,Petrol,5.0,200.0
BMW,118D,I4,"1,995 cc",150.0,216.0,8.4 sec,34000.0,Diesel,5.0,380.0
BMW,120i,I4,"1,998 cc",178.0,230.0,7.1  sec,37000.0,Petrol,5.0,300.0
BMW,125i,I4,"1,998 cc",224.0,240.0,6.1 sec,42000.0,Petrol,5.0,400.0
BMW,114D,I3,"1,496 cc",95.0,185.0,12.2 sec,27000.0,Diesel,5.0,270.0
BMW,114i,I4,"1,598 cc",102.0,195.0,11.2 sec,26000.0,Petrol,5.0,200.0
BMW,125D,I4,"1,995 cc",224.0,240.0,6.3 sec,44000.0,Diesel,5.0,400.0
BMW,118i XDRIVE,I3,"1,499 cc",136.0,211.0,8.9 sec,34000.0,Petrol,5.0,250.0
BMW,116D EFFICIENTDYNAMICS,I3,"1,496 cc",116.0,200.0,10.9 sec,30000.0,Diesel,5.0,270.0
BMW,118i SPORTLINE,I3,"1,499 cc",136.0,213.0,8.5 sec,35000.0,Petrol,5.0,250.0
BMW,118i M SPORT,I3,"1,499 cc",136.0,213.0,8.5 sec,37000.0,Petrol,5.0,250.0
BMW,120i M SPORT,I4,"1,998 cc",178.0,230.0,7.1 sec,39000.0,Petrol,5.0,300.0
BMW,116i EFFICIENTDYNAMICS,I4,"1,598 cc",109.0,195.0,10.9 sec,29000.0,Petrol,5.0,200.0
BMW,116D ADVANTAGE,I3,"1,496 cc",116.0,200.0,10.5 sec,31000.0,Diesel,5.0,270.0
BMW,120D EFFICIENTDYNAMICS,I4,"1,995 cc",163.0,225.0,7.7 sec,39000.0,Diesel,5.0,400.0
BMW,118i SHADOW LINE,I3,"1,499 cc",136.0,213.0,8.5 sec,36000.0,Petrol,5.0,250.0
BMW,118D SPORT LINE,I4,"1,995 cc",150.0,216.0,8.4 sec,36000.0,Diesel,5.0,380.0
BMW,120i XDRIVE,I4,"1,998 cc",178.0,230.0,7.2 sec,40000.0,Petrol,5.0,300.0
BMW,114D SPORT LINE,I3,"1,496 cc",95.0,185.0,12.2 sec,28000.0,Diesel,5.0,270.0
BMW,118i URBAN LINE,I3,"1,499 cc",136.0,213.0,8.5 sec,35000.0,Petrol,5.0,250.0
VOLVO,XC90,I6,"1,969 cc",247.0,200.0,6.5 sec,60000.0,Petrol/Diesel,7.0,400.0
VOLVO,XC60,I6,"1,969 cc",247.0,220.0,6.4 sec,55000.0,Petrol/Diesel,5.0,400.0
VOLVO,S90,I6,"1,969 cc",295.0,250.0,5.9 sec,60000.0,Petrol/Diesel,5.0,400.0
KIA,SPORTAGE LX,I4,"2,480 cc",187.0,200.0,8.0 sec,27000.0,Petrol,5.0,250.0
KIA,SPORTAGE EX,I4,"2,480 cc",187.0,200.0,8.0 sec,30000.0,Petrol,5.0,250.0
KIA,SPORTAGE GT-LINE,I4,"2,480 cc",187.0,200.0,8.0 sec,32000.0,Petrol,5.0,350.0
KIA,SPORTAGE SX TURBO,I4,"1,998 cc",240.0,210.0,6.7 sec,36000.0,Petrol,5.0,400.0
KIA,SPORTAGE NIGHTFALL EDITION,I4,"2,480 cc",187.0,200.0,8.0 sec,33000.0,Petrol,5.0,350.0
HONDA,CIVIC TYPE R,I4,"1,996 cc",315.0,272.0,5.7 sec,44000.0,Petrol,5.0,400.0
KIA,SPORTAGE PHEV,I4 + ELECTRIC,"1,600 cc / 13.8 kwh",261.0,180.0,8.0 sec,41000.0,Plug-in Hybrid,5.0,350.0
KIA,SPORTAGE 2024(BASE MODEL),I4,"2,480 cc",187.0,200.0,8.0 sec,26000.0,Petrol,5.0,250.0
KIA,SPORTAGE 2024(TOP TRIM),I4,"1,998 cc",240.0,210.0,6.7 sec,38000.0,Petrol,5.0,400.0
KIA,SPORTAGE 2024(BASE AWD),I4,"2,480 cc",187.0,200.0,8.3 sec,29000.0,Petrol/AWD,5.0,250.0
KIA,SPORTAGE X-LINE,I4,"2,480 cc",187.0,200.0,8.0 sec,32500.0,Petrol,5.0,350.0
KIA,SPORTAGE 2024(S TRIM),I4,"2,480 cc",187.0,200.0,8.2 sec,28000.0,Petrol,5.0,250.0
HONDA,ACCORD,I4,"1,498 cc",192.0,201.0,7.1 sec,29400.0,Petrol,5.0,370.0
KIA,SPORTAGE 2024(HYBRID AWD),I4 + ELECTRIC,"1,600 cc / 1.49 kwh",227.0,180.0,8.0 sec,37000.0,Hybrid,5.0,350.0
KIA,SPORTAGE 2024(PLUG-IN HYBRID AWD),I4 + ELECTRIC,"1,598 cc / 13.8 kwh",261.0,180.0,7.9 sec,42000.0,Plug-in Hybrid,5.0,350.0
KIA,SPORTAGE 2024(X-PRO),I4,"2,480 cc",187.0,200.0,8.1 sec,36000.0,Petrol,5.0,400.0
KIA,SPORTAGE 2024(X-PRO PRESTIGE),I4,"2,480 cc",187.0,200.0,8.1 sec,38000.0,Petrol,5.0,400.0
KIA,SPORTAGE 2024(SX TURBO AWD),I4,"1,998 cc",240.0,210.0,6.5 sec,40000.0,Petrol/AWD,5.0,400.0
KIA  ,SPORTAGE 2024(BASE FWD),I4,"2,480 cc",187.0,200.0,8.5 sec,26500.0,Petrol,5.0,250.0
HONDA,CR-V,I4,"1,498 cc",190.0,186.0,8.2 sec,30000.0,Petrol/Hybrid,5.0,400.0
HONDA,PILOT,V6,"3,471 cc",285.0,209.0,6.3 sec,40000.0,Petrol,8.0,360.0
HONDA,CIVIC HATCHBACK,I4,"1,498 cc",180.0,220.0,6.8 sec,26350.0,Petrol,5.0,300.0
TOYOTA,CAMRY,V6,"3,500 cc",301.0,220.0,6.0 sec,27000.0,Petrol/Hybrid,5.0,250.0
TOYOTA,COROLLA,I4,"1,798 cc",139.0,180.0,9.4 sec,22500.0,Petrol/Hybrid,5.0,200.0
TOYOTA,PRIUS,I4,"1,798 cc",121.0,180.0,10.5 sec,26700.0,Hybrid,5.0,142.0
TOYOTA,RAV4,I4,"2,494 cc",203.0,200.0,8.1 sec,27100.0,Petrol/Hybrid,5.0,400.0
TOYOTA,HIGHLANDER,V6,"3,456 cc",295.0,220.0,7.2 sec,38400.0,Petrol/Hybrid,7.0,370.0
TOYOTA,4RUNNER ,V6,"3,956 cc",270.0,200.0,7.5 sec,37400.0,Petrol,5.0,400.0
TOYOTA,TACOMA,I4,"2,694 cc",159.0,180.0,9.5 sec,26400.0,Petrol,5.0,400.0
TOYOTA,TUNDRA,V8,"5,663 cc",381.0,220.0,6.7 sec,39900.0,Petrol,5.0,650.0
TOYOTA,AVALON,V6,"3,456 cc",301.0,220.0,6.9 sec,41400.0,Petrol,5.0,400.0
TOYOTA,MIRAI,I4,"1,798 cc",151.0,180.0,9.2 sec,52400.0,Hydrogen,5.0,335.0
TOYOTA,SIENNA,V6,"2,494 cc",245.0,190.0,8.0 sec,44150.0,Petrol/Hybrid,7.0,360.0
TOYOTA,VENZA,I4,"2,494 cc",219.0,200.0,7.5 sec,33400.0,Hybrid,5.0,400.0
TOYOTA,HIGHLANDER HYBRID,V6,"3,456 cc",240.0,220.0,8.2 sec,40400.0,Hybrid,7.0,350.0
TOYOTA,LAND CRUISER PRADO,V6,"3,956 cc",282.0,200.0,7.2 sec,49400.0,Petrol/Diesel,7.0,450.0
TOYOTA,TUNDRA HYBRID,V6,"3,456 cc",344.0,220.0,6.2 sec,43400.0,Hybrid,5.0,650.0
TOYOTA,YARIS,I4,"1,496 cc",106.0,180.0,11.2 sec,18400.0,Petrol,5.0,150.0
TOYOTA,C-HR,I4,"1,986 cc",144.0,200.0,10.2 sec,24400.0,Petrol/Hybrid,5.0,250.0
TOYOTA,BZ4X,ELECTRIC,"64.8 kwh (Base Model),72.8 kwh (Higher End Model",218.0,200.0,7.5 sec,43400.0,Electric,5.0,330.0
TOYOTA,CROWN,HYBRID,"2,494 cc",236.0,200.0,7.6 sec,38400.0,Hybrid,5.0,400.0
TOYOTA,MR2,I4,"1,986 cc",168.0,200.0,6.9 sec,29000.0,Petrol,2.0,400.0
TOYOTA,CELICA,I4,"1,986 cc",140.0,200.0,8.5 sec,25000.0,Petrol,5.0,250.0
HONDA,CITY,I4,"1,497 cc",119.0,180.0,10.2 sec,15400.0,Petrol/Hybrid,5.0,145.0
HONDA,CIVIC,I4,"1,996 cc",158.0,200.0,8.5 sec,20400.0,Petrol,5.0,400.0
HYUNDAI,I10,"1.2L,4-CYLINDER,INLINE-4(I4)","1,197 cc",87.0,160.0,12.2 sec,12400.0,Petrol,5.0,120.0
